Id,Name,Timestamp,RunTimestamp,LastRunTime
438,94.02.00 IFRS17 EXECUTION DSF: Reporting,12/30/2022 14:37,11/4/2022 19:02,00:00:37
439,94.00.00 IFRS17 EXECUTION DSM: Proj & Reporting,12/9/2020 21:38,,
440,95.01.10 HEAT MAP SETUP DSF: Create Data Extract,12/9/2020 21:44,,
441,95.01.20 HEAT MAP SETUP SO: New Business,6/15/2021 15:04,,
442,95.01.80 HEAT MAP PROJ SBT: Distribute by Targets,12/9/2020 21:47,,
443,95.01.90 HEAT MAP PROJ IEM: Export Run Log,12/9/2020 21:48,,
444,95.01.00 HEAT MAP EXECUTION DSF: Setup & Proj,1/3/2023 16:27,,
445,95.02.10 HEAT MAP RPTG DLM: Export Results to SQL,11/3/2021 16:32,11/13/2020 12:54,00:00:02
446,95.02.20 HEAT MAP RPTG IEM: Export Results to CSV,12/9/2020 21:58,,
447,95.02.00 HEAT MAP EXECUTION DSM: Reporting,12/9/2020 21:58,,
448,95.00.00 HEAT MAP EXECUTION DSM: Proj & Reporting,12/9/2020 21:59,,
449,08.10 IFRS4 PROJ DSM: Run IUL Bridge,12/16/2020 13:40,11/25/2019 2:42,01:42:20
453,92.96 MVN OVERRIDES Prem Mult Up 10 Perc,6/15/2021 13:40,,
454,92.97 MVN OVERRIDES Prem Mult Down 10 Perc,6/15/2021 13:40,,
455,94.02.50 IFRS17 RPTG DLM: Export Lockin Control,11/10/2022 17:25,11/10/2022 17:25,00:00:09
456,80.07.97 PRI MCP OVERRIDES Prem ShkDn 10 Pnt,6/22/2021 10:50,,
457,80.07.96 PRI MCP OVERRIDES Prem ShkUp 10 Pnt,6/22/2021 10:51,,
461,08.05 STAT RPTG DLM: IUL TAI Ceded Return,5/4/2021 15:47,10/24/2022 21:02,00:00:12
462,08.06 STAT PROJ SBT: Run IUL OB Reins Valuation,9/24/2021 10:00,10/24/2022 21:06,00:03:09
463,71.01.00 IREPLICATE TRAINING IFRS17 EXECUTION,11/8/2021 16:45,7/30/2021 18:37,00:55:41
464,71.01.01 IREPLICATE TRAINING IFRS17 Create SQL Tbl,7/14/2021 19:37,7/30/2021 17:52,00:00:00
465,71.01.02 IREPLICATE TRAINING IFRS17 Projection,10/18/2021 11:41,7/30/2021 18:20,00:28:38
466,71.01.03 IREPLICATE TRAINING IFRS17 Append Output,7/25/2021 14:14,7/30/2021 18:21,00:00:44
467,71.01.04 IREPLICATE TRAINING IFRS17 Export Tables,10/28/2021 17:49,8/13/2021 22:37,00:08:58
468,71.01.05 IREPLICATE TRAINING IFRS17 Export Log,6/30/2021 12:21,7/30/2021 18:37,00:00:07
470,72.00.01 IREPLICATE COMPRESS Import Weights,6/22/2021 8:57,11/11/2022 8:55,00:00:03
471,72.00.02 IREPLICATE COMPRESS Apply Weights,12/8/2022 9:00,,
472,73.00.00 IREPLICATE UNCMPRSS EXECUTION,6/22/2021 8:59,,
473,72.00.00 IREPLICATE COMPRESS EXECUTION,10/11/2021 22:40,,
474,89.00.00 PRI Utils README,11/1/2021 15:31,10/29/2021 10:43,00:00:00
475,89.01.00 PRI Utils UW Run All,11/1/2021 11:05,9/3/2021 16:51,00:11:29
476,89.01.11 PRI Utils UW Seriatim Datalink,10/21/2022 15:05,9/3/2021 16:40,00:00:13
477,89.01.13 PRI Utils UW Export Seriatim,10/21/2022 15:05,9/3/2021 16:40,00:00:07
478,89.01.12 PRI Utils UW Cell Override,8/30/2021 15:01,9/3/2021 16:40,00:00:00
479,89.01.21 PRI Utils UW MCP REPORTING SBT,9/1/2021 16:25,9/3/2021 9:57,00:05:33
480,89.01.22 PRI Utils UW VNB REPORTING SBT,10/29/2021 11:57,9/3/2021 16:48,00:04:38
481,89.01.31 PRI Utils UW Split Report for MCP DLL,10/29/2021 11:57,9/3/2021 10:04,00:01:04
482,89.02.11 PRI Utils MIR Export Assumption Tables,10/29/2021 17:00,10/29/2021 18:27,00:00:26
483,89.02.12 PRI Utils MIR Export IA Override,8/25/2021 15:53,10/29/2021 18:26,00:00:32
484,89.02.13 PRI Utils MIR Export Scenarios,10/29/2021 17:14,10/29/2021 18:27,00:00:30
485,89.02.21 PRI Utils MIR Import Assumption Tables,10/29/2021 17:44,10/29/2021 18:28,00:00:09
486,89.02.22 PRI Utils MIR Import IA Override,10/29/2021 17:43,10/29/2021 18:36,00:00:00
487,89.02.23 PRI Utils MIR Import Scenarios,10/29/2021 17:22,10/29/2021 18:28,00:00:16
488,89.02.30 PRI Utils MIR Report,11/9/2021 18:19,10/29/2021 18:36,00:03:28
489,89.02.00 PRI Utils MIR Run All,12/1/2021 17:15,,00:14:21
